;artist;genre
144;2 Minutos;['argentine punk', 'argentine rock', 'latin alternative', 'rock en espanol']
145;Stone Temple Pilots;['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']
146;The Jam;['britpop', 'dance rock', 'mod revival', 'new wave', 'new wave pop', 'punk', 'rock', 'ska']
147;Vodka Collins;['glam rock']
148;Jeff Scott Soto;['melodic hard rock']
149;Joe Heaney;['irish folk']
150;Belphegor;['black metal', 'brutal death metal', 'death metal', 'deathgrind', 'metal', 'pagan black metal', 'symphonic black metal', 'technical death metal', 'viking metal']
151;Mercedes Castro;['mariachi', 'ranchera']
152;ColdWorld;['atmospheric black metal', 'autonomous black metal', 'avantgarde metal', 'blackgaze', 'depressive black metal', 'german black metal', 'pagan black metal', 'post-metal', 'voidgaze']
153;Drexel;['ska punk']
154;Marcus Miller;['jazz electric bass', 'jazz funk', 'jazz fusion']
155;"Clarence ""Gatemouth"" Brown";['blues', 'memphis blues', 'modern blues', 'texas blues', 'traditional blues']
156;Tinariwen;['afrobeat', 'afropop', 'desert blues', 'mande pop', 'world']
157;Los Iracundos;['bolero', 'latin pop']
158;Blind Blake;['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'piedmont blues', 'ragtime', 'traditional blues']
159;David Phelps;['ccm', 'christian music', 'louvor']
160;Nicky B;['bounce', 'lgbtq+ hip hop']
161;Suicidal Tendencies;['alternative metal', 'crossover thrash', 'funk metal', 'funk rock', 'groove metal', 'hard rock', 'hardcore punk', 'metal', 'nu metal', 'punk', 'rap metal', 'rap rock', 'speed metal', 'thrash metal']
162;House Of Lords;['glam metal', 'hard rock', 'melodic hard rock', 'sleaze rock']
163;Marilyn Horne;['classical mezzo-soprano', 'opera']
164;Information Society;['dance rock', 'freestyle', 'new romantic', 'new wave', 'new wave pop', 'synthpop']
165;King Curtis;['jazz blues', 'jazz saxophone', 'soul', 'soul jazz']
166;Planxty;['british folk', 'celtic', 'irish folk', 'uilleann pipes']
167;Leroy Hutson;['chicago soul', 'classic soul', 'jazz funk', 'post-disco']
168;John Hammond;['blues', 'blues-rock', 'country blues', 'electric blues', 'modern blues', 'roots rock', 'traditional blues']
169;Sylvester Weaver;['traditional blues']
170;Kelly Clarkson;['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show', 'viral pop']
171;Davol;['new age']
172;Frank Stokes;['country blues', 'memphis blues', 'traditional blues']
173;Annie Philippe;['ye ye']
174;Valient Thorr;['stoner metal', 'stoner rock']
175;R.L. Burnside;['acoustic blues', 'blues', 'country blues', 'delta blues', 'electric blues', 'garage rock', 'modern blues', 'punk blues', 'traditional blues']
176;Zuzu Bollin;['texas blues']
177;Cavo;['hard alternative', 'post-grunge']
178;Screaming Lord Sutch;['british invasion']
179;Bukka White;['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional folk']
180;Black Tambourine;['c86', 'dream pop', 'noise pop', 'nu gaze', 'shoegaze', 'twee pop']
181;Carpenters;['adult standards', 'christmas', 'folk', 'folk rock', 'mellow gold', 'soft rock']
182;Dyango;['bolero', 'latin pop']
183;Maracaibo 15;['classic venezuelan pop', 'pop reggaeton']
184;Studio;['sleep']
185;Billy Murray;['vaudeville']
186;No Address;['grunge pop']
187;Marvin Sapp;['gospel']
188;DeGarmo & Key;['christian metal', 'deep christian rock']
189;Aynsley Lister;['blues-rock', 'british blues', 'electric blues', 'modern blues', 'power blues-rock']
190;Joselito;['cumbia']
191;Casey Bill Weldon;['traditional blues']
192;Havok;['crossover thrash', 'death metal', 'groove metal', 'metal', 'speed metal', 'technical death metal', 'thrash metal']
193;The Gentle Good;['welsh folk']
194;Donny Hathaway;['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul', 'vocal jazz']
195;M.A. Numminen;['classic finnish rock', 'suomi rock']
196;Anita Kerr;['ballroom', 'christmas', 'easy listening']
197;Jack Off Jill;['dark cabaret', 'riot grrrl', 'steampunk']
198;K.I.Z.;['deep german hip hop', 'german hip hop']
199;Smut Peddlers;['hardcore punk']
200;The Elders;['celtic', 'celtic punk', 'celtic rock']
201;Bill & Gloria Gaither;['christian relaxative', 'country gospel', 'southern gospel']
202;The Chap;['british experimental', 'experimental pop']
203;Porcupine Tree;['art rock', 'progressive metal', 'progressive rock', 'symphonic rock']
204;Mighty Diamonds;['dancehall', 'dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae']
205;Deborahe Glasgow;['lovers rock']
206;Tommy McLain;['swamp pop']
207;John Digweed;['tech house']
208;Leon Berry;['polka']
209;Dala;['canadian folk']
210;Mr. Sancho;['chicano rap', 'latin hip hop']
211;The Impressions;['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']
